grade,pain_score,name,phone,wa_link,social,rating,rating_count,city,address,niche,category
A+,100,Dr M/M Rehman's🦷32 Dental Clinic and Implant center🦷,+923004964111,https://wa.me/923004964111,http://www.facebook.com/profile.php?id=100069922012977,4.7,120,lahore,"At U-turn, Gate#4, 2 Street 2, opposite DHA Rahbar, Muhafiz Town Phase 2 Muhafiz Town, Lahore, 54000, Pakistan",dentist,Dentist
A+,100,Hafiz dental clinic,,,,4.9,320,lahore,"Main Walton Rd, near Al Rehman clinic, Shah Taj Colony, Lahore, 54000, Pakistan",dentist,Dental clinic
A+,100,"Bright Smile Dental Aesthetics , Best Dentist /Dental Clinic in Johar town Lahore",+923374800486,https://wa.me/923374800486,,5.0,226,lahore,"904 R1 M.A, Block R 1 Phase 2 Johar Town, Lahore, 54782, Pakistan",dentist,Dentist
A+,100,DENTAL HOUSE,+923454114240,https://wa.me/923454114240,,5.0,142,lahore,"1st Floor, Bilal Arcade, opposite to the international school of Choueifat, Block G G-1 Johar Town, Lahore, 54000, Pakistan",dentist,Dentist
A+,100,Dental Hospital icld,+923008404689,https://wa.me/923008404689,,4.9,104,lahore,"Cosmetic Laser Dentistry, Dental Hospital icld 3k, near Kalma Chowk Flyover، Block L Gulberg III, Lahore, Pakistan",dentist,Emergency dental service
A+,100,Family Smiles Dental Clinic,+923128678671,https://wa.me/923128678671,,5.0,78,lahore,"164,N, near Masjid Khizra, Samanabad Town, Lahore, 54000, Pakistan",dentist,Dental clinic
A+,100,Smile Care Dental & Skin Clinic,+923334033436,https://wa.me/923334033436,,4.9,389,lahore,"426, Block E Pia Housing Scheme, Lahore, 54770, Pakistan",dentist,Dental clinic
A+,100,Innovodent dental clinic Dr Talal & associates,+923188421992,https://wa.me/923188421992,https://www.facebook.com/innovoDent?mibextid=ZbWKwL,4.9,199,lahore,"Service Road, Sanda Khurd, Lahore, 54000, Pakistan",dentist,Dental clinic
A+,100,VISAGE Dental Cinic,+923223100616,https://wa.me/923223100616,https://www.instagram.com/visagebyprof.saimarazaqsadozai/,4.9,43,lahore,"Z, 65- Z Street 22, Sector Z DHA Phase 3, Lahore, Pakistan",dentist,Dental clinic
A+,100,iDental Care,+923026663310,https://wa.me/923026663310,,5.0,249,lahore,"Shop 4, Hafiz Arshad Plaza, Main Market, Taj Bagh Scheme, Lahore, Pakistan",dentist,Dental clinic
A+,100,Ali Dental Clinic,+923353544440,https://wa.me/923353544440,,4.6,66,lahore,"Airline Blvd, Airline Society, Lahore, 01234, Pakistan",dentist,Dental clinic
A+,100,Ivory Dental Clinic (Dr.Nomair & Associates),+923003643768,https://wa.me/923003643768,,4.9,230,lahore,"Basement of 48-A Commercial, Sector A DHA Phase 6, Lahore, Pakistan",dentist,Dental clinic
A+,100,Cavalry Dental Care,,,,4.9,173,lahore,"Cavalry Ground, Lahore, 54000, Pakistan",dentist,Dental clinic
A+,100,Asad Dental And Maxillofacial Surgery Clinic,+923334156501,https://wa.me/923334156501,https://www.instagram.com/adms.pk,5.0,74,lahore,"87-H, Block H Commercial, Dha Phase 1, Lahore, 54000, Pakistan",dentist,Dental clinic
A+,100,Dr. Shaheer Ahmed Butt - Al-Rasheed Dental Clinic,+923360434394,https://wa.me/923360434394,,5.0,72,lahore,"E-466/A, 1-A Eden Cottage Rd, New Iqbal Park Walton Cantt, Lahore, 54750, Pakistan",dentist,Dental clinic
A+,100,Dr Momina Amjad Dental Consultant,+923334323360,https://wa.me/923334323360,,5.0,216,lahore,"Jahgeir Service Road Main Canal Road Lahore Neyapull, Fatehgarh, Lahore, Pakistan",dentist,Dentist
A+,100,Dewan Motors - BMW Work shop PHEV + DC Charging stataion,+924236360263,https://wa.me/924236360263,,4.3,299,Lahore,"15 -_x0096_ B, Davis Road, Lahore -54000",car dealership,Auto broker
A+,100,H.N Motors,+924237551919,https://wa.me/924237551919,,4.2,186,Lahore,,car dealership,Car dealer
A+,100,BEST BUY MOTORS,+923219444329,https://wa.me/923219444329,,4.2,35,Lahore,,Car Dealers,Car dealer
A+,100,Autozxpress,+924235441398,https://wa.me/924235441398,,4.8,181,Lahore,"332 Main Lahore – Kasur Rd, opp. Model Town",Car Dealers,Car dealer
A+,100,Allah Hoo Motors,+923218888933,https://wa.me/923218888933,,4.2,111,Lahore,,Car Dealers,Car dealer
A+,100,PakWheels Auto Parts & Car Accessories,+9242111943357,https://wa.me/9242111943357,,4.3,183,lahore,,auto retailers,Auto parts store
A+,100,A.K Motors,+923354888872,https://wa.me/923354888872,,4.2,198,Lahore,,Car Dealers,Car dealer
A+,100,Waleed Motors,+923333785639,https://wa.me/923333785639,,4.2,32,Lahore,,Car Dealers,Car dealer
A+,100,RS Motors,+923204809492,https://wa.me/923204809492,,4.6,22,Lahore,,Vehicle Sales,Car dealer
A+,100,Aria Tattoo Lab,+393762516037,https://wa.me/393762516037,https://www.instagram.com/ariatattoolab/,5.0,896,Rome,"Via Palermo, 9 / 11, 00184 Roma RM, Italy",tattoo studios,Tattoo shop
A+,100,Gold Blood Tattoo Trastevere,+393927553949,https://wa.me/393927553949,https://www.instagram.com/goldbloodtattoo_trastevere,5.0,1100,Rome,"Via della Scala, 74, 00153 Roma RM, Italy",tattoo studios,Tattoo artist
A+,100,Swan Song Tattoo,+390645444048,https://wa.me/390645444048,https://instagram.com/swansongtattoo?igshid=YmMyMTA2M2Y=,4.9,230,Rome,"Via Enrico Fermi, 170/172, 00146 Roma RM, Italy",tattoo studios,Tattoo shop
A+,100,Fronte Del Porto Tattoo Parlor,+390655300453,https://wa.me/390655300453,https://www.instagram.com/frontedelportotattoo/,4.9,232,Rome,"Via Tullio Levi Civita, 66, 00146 Roma RM, Italy",tattoo studios,Tattoo shop
A+,100,Swan Song Tattoo - Studio di Tatuaggi a Trastevere,+390689813095,https://wa.me/390689813095,https://www.instagram.com/swansongtattoo/,5.0,149,Rome,"Vicolo del Cinque, 48, 00153 Roma RM, Italy",tattoo studios,Tattoo shop
A+,100,The Grim Reaper Tattoo,+39064958114,https://wa.me/39064958114,http://instagram.com/thegrimreapertattoo,5.0,175,Rome,"Via dei Sabelli, 70, 00185 Roma RM, Italy",tattoo studios,Tattoo shop
A+,100,Sin Dolores Tattoo Studio,+393488248617,https://wa.me/393488248617,http://www.instagram.com/sindolores_tattoo,5.0,189,Rome,"Via Luigi Ronzoni, 50/52, 00151 Roma RM, Italy",tattoo studios,Tattoo shop
A+,100,Saint Parker Tattoo Shop,+393287304236,https://wa.me/393287304236,https://www.instagram.com/saintparkertattoo/,4.9,40,Rome,"Via Genzano, 189, 00179 Roma RM, Italy",tattoo studios,Tattoo and piercing shop
